storage_id,unit_id,unit_kind,final_role,storage_kind,storage_path,byte_start,byte_end,logical_character_count,logical_byte_count,logical_sha256,physical_file_sha256,public_repository_status
storage:bibit:record:bibit000039,bibit:record:bibit000039,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,4156148,4327478,169428,171330,92ca044c313cb37db38f8b3b3e89ec17af4175616d5dcfdb05186a987c317b54,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000040,bibit:record:bibit000040,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,1229433,1274159,44332,44726,fe1d5974c61fc6f3953ea323a29278a11fed522b1a0f5a3ce189f700ccf789ed,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000041,bibit:record:bibit000041,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,1274160,1642703,364731,368543,2384e9ef565a84ed2a43b3374ea2645159a162e9978ad7fd964c95c62b9f2b8b,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000043,bibit:record:bibit000043,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,5553361,5890888,333739,337527,dd4d3d9780f47ae17db262e83dcb562882de0c8211c356a3965d1a7e7cd18d91,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000044,bibit:record:bibit000044,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,1642704,1680997,37900,38293,19e95fc2b0a2dcabab8adbf97c8a5d6b46a080a964378472d41dba56d44dadee,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000045,bibit:record:bibit000045,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,1680998,1840947,158117,159949,aa7307ebd61d87f8c3bfdd63d664d54da0e518ee63cbb8f0987fa781f3561794,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000046,bibit:record:bibit000046,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,1840948,2053760,209881,212812,e13df871fae4dc31943e54a00bc714848685591e73933707d95fbb0c9696a7ba,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000047,bibit:record:bibit000047,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,2053761,2201678,143975,147917,c70b988fc066321af453b03088403ad30653fb39fca13d0574a69fdc841def58,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000048,bibit:record:bibit000048,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,2201679,2251093,48898,49414,d5d436ed7f9849cd33995c878971128d9236f375c444fb7f9bc81a1b2c1e64b1,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000049,bibit:record:bibit000049,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,2251094,3612861,1349040,1361767,137f65aeb0f5116bd99bb83be6147f46860c5bb219c5d17f3343660eca827d3c,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
