work_root_id,root_title,source_archive,source_url,author_evidence,period_bucket,input_role,final_role,direct_scan_title,scan_rights_id,final_decision,resolution_reason,canonical_reference_ids,removed_reference_ids,rights_decision,activation_status,artifact_status,source_cache_path,source_sha256,source_character_count,retained_source_character_count,excluded_source_character_count,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
itws:36498,Elogio della vecchiaia,Italian Wikisource,https://it.wikisource.org/wiki/Elogio_della_vecchiaia,Paolo Mantegazza,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Mantegazza - Elogio della vecchiaia.djvu,itws-scan:903287,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_36498.txt,1f8253bbfa55f6b1f39b739d1cb748519034c2c44c7adb8055a56fde069998ca,201781,0,201781,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:37028,A Francesco Saverio Fabre,Italian Wikisource,https://it.wikisource.org/wiki/A_Francesco_Saverio_Fabre,Ugo Foscolo,nineteenth_century,standard_sonnets,historical_non_sonnet_poetry,"Foscolo - Poesie,1856.djvu",itws-scan:443069,eligible_sonnets_only_inactive,Only verified unique sonnet artifacts remain after wrapper and duplicate removal.,,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_37028.txt,a1d168334c3edf2f55c442235ea40ac190ca18b7f469e5fdcbb624e0bc82159f,606,0,606,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:37037,Ben è ragion che la troppo orgoglianza,Italian Wikisource,https://it.wikisource.org/wiki/Ben_%C3%A8_ragion_che_la_troppo_orgoglianza,Arrigo Baldonasco,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Raccolta di rime antiche toscane - Volume primo.djvu,itws-scan:239858,exclude_source_rights_unresolved,"Index metadata lacks author, year, or source evidence.",,,rights_hold_incomplete_index_provenance,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_37037.txt,a6d1b547405492a09f23b21581a07a4fd7e87d384cc55a940e0ae9fd0d15c988,1994,0,1994,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:37038,Lo fino amor piacente,Italian Wikisource,https://it.wikisource.org/wiki/Lo_fino_amor_piacente,Arrigo Baldonasco,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Raccolta di rime antiche toscane - Volume primo.djvu,itws-scan:239858,exclude_source_rights_unresolved,"Index metadata lacks author, year, or source evidence.",,,rights_hold_incomplete_index_provenance,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_37038.txt,c85c20e0c489351d54e60a2e03c1a32cad5da78c9f18a4a7fd8a4330fe600cca,1666,0,1666,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:37621,Trattato d'Amore,Italian Wikisource,https://it.wikisource.org/wiki/Trattato_d'Amore,Guittone d'Arezzo,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Guittone d'Arezzo – Rime, 1940 – BEIC 1851078.djvu",itws-scan:612012,exclude_source_rights_unresolved,"Post-1930 edition names a curator, translator, or illustrator whose contribution needs separate rights evidence.",,,rights_hold_modern_edition_contributor,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_37621.txt,9ff7c27a117ef6b5fd38a911dc282be7bb0595dbdfeee8352326ecb79ea296cd,760,0,760,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:38217,Del vietare la stampa di libri perniciosi al buon governo,Italian Wikisource,https://it.wikisource.org/wiki/Del_vietare_la_stampa_di_libri_perniciosi_al_buon_governo,Paolo Sarpi,origins_through_1800,historical_general,historical_general,"Sarpi, Paolo – Scritti giurisdizionalistici, 1958 – BEIC 1923346.djvu",itws-scan:625972,exclude_source_rights_unresolved,"Post-1930 edition names a curator, translator, or illustrator whose contribution needs separate rights evidence.",,,rights_hold_modern_edition_contributor,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_38217.txt,579faaf4cdbbf7ec13fb1b510ac0f04897eeba9ee0c15cee9b5bad721aacc96e,15123,0,15123,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:38278,Dubbj amorosi,Italian Wikisource,https://it.wikisource.org/wiki/Dubbj_amorosi,Pietro Aretino,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Dubbi amorosi.djvu,itws-scan:239301,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",,,rights_pass,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/local/wikisource/page_extraction_v1/root_texts/itws_38278.txt,8f12797ea1e9607b7c2d07a4a015d189519c6ae068f07945064395e08ee83a99,19381,19381,0,data/processed/italian_wikisource_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,108086,127936,19382,19850,fbe0c95aed1019610804485ce7d1d38f48c8c3592748087fff02d783726a2634
itws:38411,Altri dubbj amorosi,Italian Wikisource,https://it.wikisource.org/wiki/Altri_dubbj_amorosi,Pietro Aretino,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Dubbi amorosi.djvu,itws-scan:239301,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",,,rights_pass,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/local/wikisource/page_extraction_v1/root_texts/itws_38411.txt,5dffdea21223c2d89cb070b918f97ea73feedab268b91d40b2f9dce770b29611,5512,5512,0,data/processed/italian_wikisource_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,127937,133606,5513,5669,31b2dd86b4e4632bf3ff0e83f31db9e8f4355ac07a33ed457e8105c813fee758
itws:38623,Istorie dello Stato di Urbino,Italian Wikisource,https://it.wikisource.org/wiki/Istorie_dello_Stato_di_Urbino,Vincenzo Maria Cimarelli,origins_through_1800,historical_general,historical_general,Istorie dello Stato di Urbino.djvu,itws-scan:45073,exclude_unresolved_markup,Unknown markup may contain or corrupt primary text.,,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_38623.txt,3549b23e059fb5ad20c9914a78bae19b6713a12181079838ba825d28f294a8e3,518147,0,518147,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:38876,Ultime lettere di Jacopo Ortis,Italian Wikisource,https://it.wikisource.org/wiki/Ultime_lettere_di_Jacopo_Ortis,Ugo Foscolo,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Ultime lettere di Jacopo Ortis.djvu,itws-scan:317354,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_38876.txt,db954a3706f5b4b9b8db7c5ae0ad9a48e99a4e341656177595e9149ec3b7f49a,282690,0,282690,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
