left_unit_id,right_unit_id,pair_scope,left_containment,right_containment,matching_shingles,exact_normalized_text,preferred_unit_id,decision_effect
wikisource:record:itws:394898,bibit:sonnet:bibit000776:sonnet_0024,sonnet_cross_role,0.864078,0.917526,89,false,bibit:sonnet:bibit000776:sonnet_0024,exclude_role_mismatch
wikisource:record:itws:394901,bibit:sonnet:bibit001632:sonnet_0045,sonnet_cross_role,0.809091,0.890000,89,false,bibit:sonnet:bibit001632:sonnet_0045,exclude_role_mismatch
wikisource:record:itws:394906,bibit:sonnet:bibit001555:sonnet_0019,sonnet_cross_role,0.786408,0.852632,81,false,bibit:sonnet:bibit001555:sonnet_0019,segment_quarantine_7b
wikisource:record:itws:394908,bibit:sonnet:bibit001555:sonnet_0040,sonnet_cross_role,0.752212,0.867347,85,false,bibit:sonnet:bibit001555:sonnet_0040,segment_quarantine_7b
wikisource:record:itws:394909,bibit:sonnet:bibit001555:sonnet_0048,sonnet_cross_role,0.901786,1.000000,101,false,bibit:sonnet:bibit001555:sonnet_0048,exclude_role_mismatch
wikisource:record:itws:394913,bibit:sonnet:bibit001632:sonnet_0004,sonnet_cross_role,0.723810,0.826087,76,false,bibit:sonnet:bibit001632:sonnet_0004,segment_quarantine_7b
wikisource:record:itws:394915,bibit:sonnet:bibit001632:sonnet_0008,sonnet_cross_role,0.814433,0.831579,79,false,bibit:sonnet:bibit001632:sonnet_0008,exclude_role_mismatch
wikisource:record:itws:394916,bibit:sonnet:bibit001632:sonnet_0049,sonnet_cross_role,0.859813,0.920000,92,false,bibit:sonnet:bibit001632:sonnet_0049,exclude_role_mismatch
wikisource:record:itws:394941,bibit:sonnet:bibit000776:sonnet_0043,sonnet_cross_role,0.734513,0.805825,83,false,bibit:sonnet:bibit000776:sonnet_0043,segment_quarantine_7b
wikisource:record:itws:394943,bibit:sonnet:bibit000776:sonnet_0039,sonnet_cross_role,0.855856,1.000000,95,false,bibit:sonnet:bibit000776:sonnet_0039,exclude_role_mismatch
wikisource:record:itws:43762,bibit:sonnet:bibit001063:sonnet_0036,sonnet_cross_role,0.901099,0.911111,82,false,bibit:sonnet:bibit001063:sonnet_0036,exclude_role_mismatch
wikisource:record:itws:43926,bibit:sonnet:bibit001063:sonnet_0048,sonnet_cross_role,0.861702,0.870968,81,false,bibit:sonnet:bibit001063:sonnet_0048,exclude_role_mismatch
wikisource:record:itws:473919,wikisource:sonnet:itws:474572:sonnet0001,sonnet_cross_role,0.022124,1.000000,90,false,wikisource:sonnet:itws:474572:sonnet0001,segment_quarantine_7b
wikisource:record:itws:473919,wikisource:sonnet:itws:480660:sonnet0001,sonnet_cross_role,0.024582,1.000000,100,false,wikisource:sonnet:itws:480660:sonnet0001,segment_quarantine_7b
wikisource:record:itws:473919,wikisource:sonnet:itws:480680:sonnet0001,sonnet_cross_role,0.022370,1.000000,91,false,wikisource:sonnet:itws:480680:sonnet0001,segment_quarantine_7b
wikisource:record:itws:473919,wikisource:sonnet:itws:481037:sonnet0001,sonnet_cross_role,0.022370,1.000000,91,false,wikisource:sonnet:itws:481037:sonnet0001,segment_quarantine_7b
wikisource:record:itws:483524,bibit:sonnet:bibit001036:sonnet_0001,sonnet_cross_role,0.769231,0.824742,80,false,bibit:sonnet:bibit001036:sonnet_0001,segment_quarantine_7b
