work_root_id,root_title,metadata_decision,proposed_role,linking_page_count,linking_page_ids,scan_title,scan_url,scan_page_id,scan_revision_id,scan_touched_utc,scan_wikitext_bytes,scan_is_redirect,scan_exists_in_dump,scan_shared_root_count,scan_shared_candidate_count,scan_shared_conditioned_count,scan_shared_nonitalian_count,scan_shared_nonstandard_hold_count,scan_shared_existing_reference_count,scan_title_language_signals,activation_status
itws:883619,Con ira il tempo torbido rimira,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,883619,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
itws:883614,Con la scorta possente,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,883614,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
itws:883622,Con occhi cortesi,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,883622,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
itws:395147,Con qual amor la Sapienza eterna,historical_core_metadata_candidate,historical_general,1,395147,Marino Poesie varie (1913).djvu,https://it.wikisource.org/wiki/Indice:Marino_Poesie_varie_(1913).djvu,392611,3231199,2026-07-30T05:08:40Z,31429,False,True,319,238,0,0,0,0,,metadata_only_not_activated
itws:845434,Con qual magia di cristallina lente,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,845434,AA. VV. - Lirici marinisti.djvu,https://it.wikisource.org/wiki/Indice:AA._VV._-_Lirici_marinisti.djvu,515484,2837511,2026-07-30T08:48:30Z,8794,False,True,583,173,0,0,0,0,,metadata_only_not_activated
itws:740614,"Con sicurtá dirò, po' ch'i' son vosso",historical_core_metadata_candidate,historical_general,1,740614,Rimatori siculo-toscani del Dugento.djvu,https://it.wikisource.org/wiki/Indice:Rimatori_siculo-toscani_del_Dugento.djvu,740258,3090410,2026-07-30T18:52:33Z,21499,False,True,127,113,0,0,2,0,,metadata_only_not_activated
itws:746685,Con vana erranza fate voi riparo,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,746685,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",600609,3867578,2026-07-30T19:02:00Z,5834,False,True,442,381,0,0,0,33,,metadata_only_not_activated
itws:394410,Con vivi lampi di celeste riso,historical_core_metadata_candidate,historical_general,1,394410,Marino Poesie varie (1913).djvu,https://it.wikisource.org/wiki/Indice:Marino_Poesie_varie_(1913).djvu,392611,3231199,2026-07-30T05:08:40Z,31429,False,True,319,238,0,0,0,0,,metadata_only_not_activated
itws:845546,Con vomere stridente il suol disserra,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,845546,AA. VV. - Lirici marinisti.djvu,https://it.wikisource.org/wiki/Indice:AA._VV._-_Lirici_marinisti.djvu,515484,2837511,2026-07-30T08:48:30Z,8794,False,True,583,173,0,0,0,0,,metadata_only_not_activated
itws:483592,Condotto Amor m'avea fino all'estremo,historical_core_metadata_candidate,historical_general,1,483592,"Lorenzo de' Medici - Opere, vol.1, Laterza, 1913.djvu","https://it.wikisource.org/wiki/Indice:Lorenzo_de'_Medici_-_Opere,_vol.1,_Laterza,_1913.djvu",483359,3525005,2026-07-30T07:45:48Z,19422,False,True,127,126,0,0,0,0,,metadata_only_not_activated
