author_label_id,raw_author_label,canonical_author_key,author_group_id,representative_author_label,resolution_status,sonnet_universe_count,new_candidate_count,v6_presence,protected_v6_presence
author_label:f26c9fde2548923c,Lorenzo Casaburi Urries,casaburi lorenzo urries,author:8b8f66b5144aee13,Lorenzo Casaburi Urries,deterministic_resolved_author,9,9,false,false
author_label:ec3b5d541fa19fd4,Lorenzo de' Medici,lorenzo medici,author:706e4af9a271733d,Lorenzo de' Medici,deterministic_resolved_author_alias,14,14,false,false
author_label:af1ba9d0d8909c4f,Lorenzo Magalotti,lorenzo magalotti,author:fa04976cc452031b,Lorenzo Magalotti,deterministic_resolved_author,1,1,false,false
author_label:3e6a52a8601be588,"Lubrano, Giacomo",giacomo lubrano,author:a4f7d1469cebbe41,"Lubrano, Giacomo",deterministic_resolved_author,140,140,false,false
author_label:df5a73aac95aae22,Lucinda Coritesia,coritesia lucinda,author:20a7bbbef38e4352,Lucinda Coritesia,deterministic_resolved_author,6,6,false,false
author_label:d8e0bf4dfd5610ad,Ludovico Ariosto,ariosto ludovico,author:506112ae4960c671,Ludovico Ariosto,deterministic_resolved_author_alias,30,1,true,true
author_label:a041ad7c9948c590,Luigi Alamanni,alamanni luigi,author:a704f39d47f7a21b,Luigi Alamanni,deterministic_resolved_author_alias,1,1,false,false
author_label:c88f60795b5a30c2,Luporo da Lucca,lucca luporo,author:fce973a0c381a8cb,Luporo da Lucca,deterministic_resolved_author,1,1,false,false
author_label:4354bf375c902f08,Maestro Francesco,francesco maestro,author:3c69bfcf0f7890ad,Maestro Francesco,deterministic_resolved_author,5,5,false,false
author_label:a92b35684df2b9cf,Maestro Torrigiano,maestro torrigiano,author:93f35d298444d07d,Maestro Torrigiano,deterministic_resolved_author,6,6,false,false
author_label:9d9d0576d10adc89,"Magnanini, Orazio, 16th/17th cent",cent magnanini orazio th th,author:d5e5d5e760df5b2a,"Magnanini, Orazio, 16th/17th cent",deterministic_resolved_author,26,26,false,false
author_label:0037c9edfc8ebfdf,"Magno, Celio",celio magno,author:261db6e52f5390b1,Celio Magno,deterministic_resolved_author_alias,270,269,false,false
author_label:461b6501d41d232d,Malatesta IV Malatesta,iv malatesta malatesta,author:fd5a408eefb685e7,Malatesta IV Malatesta,deterministic_resolved_author,1,1,false,false
author_label:d4bfa282479db01e,"Malatesti, Malatesta",malatesta malatesti,author:304598ef6ef11ce0,"Malatesti, Malatesta",deterministic_resolved_author,63,63,false,false
author_label:efeda8bee2c4a5cc,"Malecarni, Francesco",francesco malecarni,author:36c85d8e2b07a3f1,"Malecarni, Francesco",deterministic_resolved_author,6,6,false,false
author_label:21f459762bffdbff,"Malipiero, Girolamo",girolamo malipiero,author:6f573bd71d039e59,"Malipiero, Girolamo",deterministic_resolved_author,312,312,false,false
author_label:cd9c511697670552,"Mantegna, Giovanni Alfonso",alfonso giovanni mantegna,author:c813c21da210980f,"Mantegna, Giovanni Alfonso",deterministic_resolved_author,78,78,false,false
