record_id,file_name,download_url,content_type,raw_byte_count,raw_sha256,cache_path,acquisition_status,error
ota_A07736,A07736.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A07736/A07736.xml?sequence=7&isAllowed=y,text/xml,239790,ca05ad90b2f917d72a956d2b5042df4489cfe1595de41aa289bbb7be69f378a2,data/local/ilc_ota_source_audit_v1/payloads/ota_A07736_002_A07736.xml.bin,cached_verified,
ota_A09314,A09314.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A09314/A09314.epub?sequence=4&isAllowed=y,application/epub+zip,86129,212f26824feb2577d0eaffcef1e3c90e453f74af38f4899060048004b32bfdf2,data/local/ilc_ota_source_audit_v1/payloads/ota_A09314_001_A09314.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A09314,A09314.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A09314/A09314.xml?sequence=6&isAllowed=y,text/xml,110414,3d95ab0f37883f49e683f184b7fbd0b71d0d2a5773f23331fb4f1b05b7d8bbda,data/local/ilc_ota_source_audit_v1/payloads/ota_A09314_002_A09314.xml.bin,cached_verified,
ota_A09485,A09485.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A09485/A09485.epub?sequence=4&isAllowed=y,application/epub+zip,45543,664010a8cd2decdb6036ad6bc4b1f52d94ef9d5e4fdae6fe60ba9f39fd8da4ee,data/local/ilc_ota_source_audit_v1/payloads/ota_A09485_001_A09485.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A09485,A09485.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A09485/A09485.xml?sequence=6&isAllowed=y,text/xml,117033,78514bd353ce374b270da2fa5f067d57a0e27e69d8109667303f87958e6b5d4d,data/local/ilc_ota_source_audit_v1/payloads/ota_A09485_002_A09485.xml.bin,cached_verified,
ota_A13338,A13338.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A13338/A13338.epub?sequence=3&isAllowed=y,application/epub+zip,46379,aef7fcddc01db05b1d2e3e3f630a510a455a37190aea2c4258fc32ba9b53c422,data/local/ilc_ota_source_audit_v1/payloads/ota_A13338_001_A13338.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A13338,A13338.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A13338/A13338.xml?sequence=5&isAllowed=y,text/xml,108511,188f0782cb92befd9f54b64b997e054535651c0f99a2c3a046cc1b78fd194562,data/local/ilc_ota_source_audit_v1/payloads/ota_A13338_002_A13338.xml.bin,cached_verified,
ota_A14162,A14162.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14162/A14162.epub?sequence=4&isAllowed=y,application/epub+zip,63844,845bc2fb391c4ce16a0984c3799d1a319460f2462020c9d698e5c792e3dcd9c6,data/local/ilc_ota_source_audit_v1/payloads/ota_A14162_001_A14162.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A14162,A14162.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14162/A14162.xml?sequence=6&isAllowed=y,text/xml,178760,9051f8d647adb7934618f0904acb9e9fb8b8e8ed82865210ce1f128a5b90a427,data/local/ilc_ota_source_audit_v1/payloads/ota_A14162_002_A14162.xml.bin,cached_verified,
ota_A14163,A14163.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14163/A14163.epub?sequence=4&isAllowed=y,application/epub+zip,85590,56995f53b7ea6d08b0ef44d7862113044364b86e7ab84a85187e70e177bcaf31,data/local/ilc_ota_source_audit_v1/payloads/ota_A14163_001_A14163.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
