review_id,checkpoint_4b_decision,review_unit_type,work_root_count,projected_wikitext_bytes,work_root_ids,representative_root_titles,scan_titles,scan_title_language_signals,scan_group_conditioned_count,scan_group_nonitalian_count,scan_group_nonstandard_hold_count,review_status,required_action,activation_status
itws-4b-review-0038,hold_no_direct_scan_link,work_root,1,1983,itws:36262,Amor ben veio che mi fa tenire,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0039,hold_no_direct_scan_link,work_root,1,1968,itws:36612,Amor mi fa sovente,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0040,hold_no_direct_scan_link,work_root,1,3000,itws:35652,"Amor, che lungiamente m'ài menato",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0041,hold_no_direct_scan_link,work_root,1,1674,itws:36066,"Amor, che m'à 'n comando",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0042,hold_no_direct_scan_link,work_root,1,972,itws:31881,"Amor, com'esser può che per mia doglia",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0043,hold_no_direct_scan_link,work_root,1,2752,itws:35075,"Amor, quando mi membra",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0044,hold_no_direct_scan_link,work_root,1,941,itws:36988,Amore fue invisibole criato,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0045,hold_no_direct_scan_link,work_root,1,1370,itws:36617,Amore m'ave priso,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0046,hold_no_direct_scan_link,work_root,1,1121,itws:19876,Amore ribelle,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0047,hold_no_direct_scan_link,work_root,1,1012,itws:35144,Amore è uno desio che ven da' core,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0048,hold_no_direct_scan_link,work_root,1,2365,itws:36587,"Amore, avendo interamente voglia",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0049,hold_no_direct_scan_link,work_root,1,1944,itws:36214,"Amore, in cui disio ed ò speranza",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0050,hold_no_direct_scan_link,work_root,1,3256,itws:31879,Amori (Marino),,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0051,hold_no_direct_scan_link,work_root,1,2061,itws:36198,Amorosa donna fina,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0052,hold_no_direct_scan_link,work_root,1,705,itws:3150,Anacreontica,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0053,hold_no_direct_scan_link,work_root,1,3167,itws:35653,Ancor che l'aigua per lo foco lassi,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0054,hold_no_direct_scan_link,work_root,1,20807,itws:406143,Ancorché antichissimo,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0055,hold_no_direct_scan_link,work_root,1,60271,itws:71282,Angelica (Aretino),,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0056,hold_no_direct_scan_link,work_root,1,31343,itws:106369,Antichità estensi,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0057,hold_no_direct_scan_link,work_root,1,29265,itws:73300,Apologia,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0058,hold_no_direct_scan_link,work_root,1,37562,itws:26417,Appressamento della morte,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0059,hold_no_direct_scan_link,work_root,1,124287,itws:74156,Aridosia,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0060,hold_no_direct_scan_link,work_root,1,355662,itws:21722,Asolani,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0061,hold_no_direct_scan_link,work_root,1,2335,itws:36589,Assai cretti celare,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0062,hold_no_direct_scan_link,work_root,1,2259,itws:36224,Assai mi placeria,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0063,hold_no_direct_scan_link,work_root,1,338909,itws:532067,Attraverso l'Atlantico in pallone,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0064,hold_no_direct_scan_link,work_root,1,1759,itws:36994,Audite forte cosa che m'avene,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0065,hold_no_direct_scan_link,work_root,1,961,itws:26148,Audite poverelle,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0066,hold_no_direct_scan_link,work_root,1,353328,itws:557749,Avventure fra le pelli-rosse,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0067,hold_no_direct_scan_link,work_root,1,307219,itws:544610,Avventure straordinarie di un marinaio in Africa,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0068,hold_no_direct_scan_link,work_root,1,707,itws:28190,Avventuroso augello,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0069,hold_no_direct_scan_link,work_root,1,2833,itws:265954,Avviso 13 luglio 1787 Regio Imperiale Consiglio di Governo,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0070,hold_no_direct_scan_link,work_root,1,8769,itws:106370,Avviso mandato a S. Maestà Cesarea,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0071,hold_no_direct_scan_link,work_root,1,4830,itws:169126,"Baciami, baciami, baciami ancora",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0072,hold_no_direct_scan_link,work_root,1,2228,itws:984121,Bacio ideale,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0073,hold_no_direct_scan_link,work_root,1,15475,itws:1539,"Bando sopra la nuova divisione, e riforma de' Confini delle Contrade della Città di Siena",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0074,hold_no_direct_scan_link,work_root,1,1062,itws:352232,"Bella coppia felice, in cui natura",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0075,hold_no_direct_scan_link,work_root,1,756,itws:352290,Bella cosa il veder vestito in gala,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0076,hold_no_direct_scan_link,work_root,1,1214,itws:302478,"Bella donna sdegna molti che l'amano, e ama uno solo, che l'odia",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0077,hold_no_direct_scan_link,work_root,1,1798,itws:36447,Ben mi degio alegrare,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0078,hold_no_direct_scan_link,work_root,1,1674,itws:64689,Ben venga maggio (Sapegno),,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0079,hold_no_direct_scan_link,work_root,1,46498,itws:61335,Bestiario moralizzato di Gubbio,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0080,hold_no_direct_scan_link,work_root,1,53573,itws:54029,Breve schizzo dei sistemi di filosofia moderna e del proprio sistema,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0081,hold_no_direct_scan_link,work_root,1,1118,itws:698485,Bruceremo le chiese,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0082,hold_no_direct_scan_link,work_root,1,13598,itws:61323,Caducità della vita umana,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0083,hold_no_direct_scan_link,work_root,1,1291,itws:73331,Canto degli Ermafroditi,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0084,hold_no_direct_scan_link,work_root,1,425,itws:35329,Canto soldatesco di Travale,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0085,hold_no_direct_scan_link,work_root,1,4257,itws:76751,Canzone alla greca in onore dell'invitto martire Sant'Ermete,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0086,hold_no_direct_scan_link,work_root,1,4318,itws:61438,Canzone del fi' Aldobrandino,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0087,hold_no_direct_scan_link,work_root,1,2907,itws:61259,Canzone di Auliver,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0088,hold_no_direct_scan_link,work_root,1,12303,itws:69594,Canzoniere (Dante da Maiano),,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0089,hold_no_direct_scan_link,work_root,1,2352,itws:418367,Canzun dils giats da Glienard Balleta de anno 1794,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0090,hold_no_direct_scan_link,work_root,1,6346,itws:963096,Capannetta,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0091,hold_no_direct_scan_link,work_root,1,36166,itws:56942,Capitoli della congregazione dello Spirito Santo di Villafranca-Piemonte,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0092,hold_no_direct_scan_link,work_root,1,37255,itws:61996,Capitolo sopra all'amicizia,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0093,hold_no_direct_scan_link,work_root,1,3703,itws:200125,Capitolo sopra il nome suo,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0094,hold_no_direct_scan_link,work_root,1,705,itws:35307,Cartula del Monte Amiata,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0095,hold_no_direct_scan_link,work_root,1,1910,itws:71947,Casta Diva,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0096,hold_no_direct_scan_link,work_root,1,1276,itws:55907,Cattiverie,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0097,hold_no_direct_scan_link,work_root,1,1998,itws:36995,Caunoscenza penosa e angosciosa,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0098,hold_no_direct_scan_link,work_root,1,8922,itws:36328,Cenni sulla costituzione della Repubblica Ambrosiana,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0099,hold_no_direct_scan_link,work_root,1,3103,itws:374206,Cento novelle amorose de i Signori Accademici Incogniti,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0100,hold_no_direct_scan_link,work_root,1,1135,itws:230677,Cerco la strofa che sia fosca e queta,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0101,hold_no_direct_scan_link,work_root,1,928,itws:63734,"Ch'eo cor avesse, mi potea laudare",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
