object_id,title,authors,assigned_role,audited_route,source_audit_status,source_audit_flags,decision,final_role,cleaning_policy,included_characters,duplicate_of_object_id,reason,landing_page_url,tei_sha256
bibit000225,Lettera a Bernardo Tasso,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,47211,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000225,3a0e1f3beb6b1f772e229a0aa8da72a003a55bc4545bf80aae3e4311d52b3d00
bibit000721,Lettera sovra il comporre le satire atte alla scena,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,40356,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000721,b395d6c665053ba1daa3b1386dbd91034eab1141d26b078e7ba60247069c1798
bibit001424,Lettera sulla tragedia,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,34073,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001424,956dcc2ab16149c5ee6d0142de2b0794178a6202acfaff2f0f4fbd373914617f
bibit000565,Orbecche,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,127407,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000565,5317fd4691385467c6f2e1b456538bbee4f951346f1de2c6264c7a0b48e5a193
bibit001335,"Prologo all'Altile""","Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,3645,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001335,431797d532b702d5b28b63aaa9b3513b40b14bb5ab16f32baad7cd7473f32efa
bibit001114,Super imitatione epistula,"Giraldi Cinzio, Giambattista",historical_general,historical_general,review_required,review_non_italian_language,exclude_non_italian,excluded,preserve_rendered_tei_text,0,,TEI language metadata identifies a non-Italian work,http://www.bibliotecaitaliana.it/scheda/bibit001114,b25c24b11b53c46373d9249d12c27c9952168aa09336ed3c5a3ac5e0899a4977
bibit000470,Relazione di Germania (1682),"Giustinian, Ascanio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,72646,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000470,2f1a31fb72aaad87a52860e7c14618c99649dcf2ff08b10b5b2c6fa959bd737c
bibit000404,Relazione di Francia (1676),"Giustinian, Ascanio II",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,46016,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000404,d335ce0ababfb096a34a9a2e8b2c6ad7af1fda84777b69ea7b31668a5d2948a8
bibit000623,Relazione di Francia,"Giustinian, Marcantonio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,78052,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000623,795ce4eab8fef0f172f54c12d9d2c8b752032f8df3719a841d255df52de8ea3e
bibit000893,Relatione di S. Girolamo Giustiniani Cavalier (1654),"Giustiniani, Girolamo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,56346,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000893,fa4610d2c4b612f60c8805e9ecf2fb9298340511dd4a995f60885710a9ee358d
bibit001592,Relazione di Germania,"Giustiniano, Marino",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,63849,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001592,1da37f8501285113a807f49282b7ba984544571c6075cd1260a24d66bd1cc9ff
bibit000556,Gl'innamorati,"Goldoni, Carlo",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,97681,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000556,7b62e048ff26d44de845a2647bcd011383b3070524694dacd1510e7007680d28
bibit000420,I rusteghi,"Goldoni, Carlo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,97887,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000420,ee804d7bc9560554fa4a6bb62b09d8e5b589367ec9f5b4cda4d496ef325d9246
bibit000982,Il campiello,"Goldoni, Carlo",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,82102,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000982,a80ee3646540a9ef387965840b46830139ba441db3f681950c0d6cffb1e920ca
bibit001579,Il servitore di due padroni,"Goldoni, Carlo",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,133026,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001579,8565ae0d68e654e8f774be1460cfb737285e2c6afadd357dacf1fc3a374fcae8
