range_id,review_id,unit_id,reference_id,review_type,source_sha256,reference_sha256,localization_method,reference_token_count,matched_reference_token_count,reference_coverage,source_token_start,source_token_end,character_start,character_end,removed_character_count,removed_sha256,line_expanded,range_decision,verification_status
review:wikisource:record:itws:975995:bibit:sonnet:bibit001002:sonnet_0014:whole_unit_excluded,review:wikisource:record:itws:975995:bibit:sonnet:bibit001002:sonnet_0014,wikisource:record:itws:975995,bibit:sonnet:bibit001002:sonnet_0014,sonnet_segment_quarantine,288d1eb9cd36fccace06708786cf234fa90da3eec82895ff88e6a0b80755613a,,not_required_whole_unit_excluded,,,,,,,,517,288d1eb9cd36fccace06708786cf234fa90da3eec82895ff88e6a0b80755613a,false,exclude_whole_unit_by_7a_decision,duplicate_representation_not_materialized
review:wikisource:record:itws:975995:bibit:sonnet:bibit001036:sonnet_0086:whole_unit_excluded,review:wikisource:record:itws:975995:bibit:sonnet:bibit001036:sonnet_0086,wikisource:record:itws:975995,bibit:sonnet:bibit001036:sonnet_0086,sonnet_segment_quarantine,288d1eb9cd36fccace06708786cf234fa90da3eec82895ff88e6a0b80755613a,,not_required_whole_unit_excluded,,,,,,,,517,288d1eb9cd36fccace06708786cf234fa90da3eec82895ff88e6a0b80755613a,false,exclude_whole_unit_by_7a_decision,duplicate_representation_not_materialized
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0061:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0061,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0061,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,fc2544f4296a9af11eeb2ce0c45c91b8d5f6a7883edf9bf8d8c2771981d613c4,contiguous_shingle_window_alignment,94,92,0.978723,88,181,498,974,476,8da0af12a106574f4627578619c05cb3822aae45a8979e436996a10ab51de1be,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0062:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0062,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0062,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,a55d3ac826f701f70d758e4969c559d2b0a4c41a1d26eba56f7e193156ce35a7,contiguous_shingle_window_alignment,85,84,0.988235,181,266,975,1440,465,6e365b7e8c769fc6b9130c1733d7fd771198dd2910f35d0187bed52d38d41043,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0064:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0064,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0064,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,630f861deea9879a5fb0fd0dc661d618daca5b572c0f15cb1b903c0730f75d16,contiguous_shingle_window_alignment,79,78,0.987342,347,426,1896,2373,477,e52cd793e933a788a336ef6534f6fbd04a690f006160d9e30440e8656b705ff8,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0066:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0066,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0066,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,d0bb5d2e474ade716caa4926a80a70312e19a3192bb8079b73393361c7a3092f,contiguous_shingle_window_alignment,89,87,0.977528,509,597,2836,3299,463,fcb50a89e91264ee8710a7b3a7a89120d700a0489c4f53c04f39f4eb466243ec,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0068:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0068,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0068,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,177bc0264f9c16f7b0154f543251ef5cc2f76387bd709335cff0fd1d9b9628c5,contiguous_shingle_window_alignment,86,84,0.976744,684,769,3764,4237,473,9a80af6135987a208648532fb4da653b2352e1e496001398216906d7b6c8f8b4,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0069:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0069,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0069,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,6e648501b1d90c53f5d1f04091475c41974eb7b7cbcb412b7fc78e8c01dd4c8f,contiguous_shingle_window_alignment,90,89,0.988889,769,859,4237,4714,477,326effaece0b59a1267632acf74e3edeaf7b7ab64199811e7bc6e586f40461cb,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0070:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0070,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0070,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,bc64952e618982cb6dfa9b2d83f18c3beb98b10369d0d7d7228e65b4855acb5f,contiguous_shingle_window_alignment,86,85,0.988372,859,945,4714,5182,468,eef732305b7cd2116d502fe9d1e77cc42d2448ba72fcdcdc69fb3be337d58fda,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0071:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0071,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0071,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,f6e586842bf30283a5e2441df8031737985401cf7d8a06ba0ad772e920a52993,contiguous_shingle_window_alignment,86,85,0.988372,945,1031,5182,5655,473,6453c7c1b5df20ae4c983f6b0db4c8344a3a6b45da81a1a0ea211eeb6a15a686,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0072:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0072,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0072,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,41033dc4cec6af9d4268f1639bf7dba347c4b62f4e7ae2c08161ec8cc9e86735,contiguous_shingle_window_alignment,87,86,0.988506,1031,1118,5655,6120,465,84f66debddd5f0d095a018120cc39dd840ef45aefcef6aad72d44eb1a691e0b1,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0073:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0073,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0073,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,d9ac1329b955d0dfcf72cb0f7941256eb823bef5bb6dba2dcc28b595e7893d01,contiguous_shingle_window_alignment,84,83,0.988095,1118,1202,6120,6586,466,0136b2d02a39a436598c52d269cd87bf767ffaf198a3443cf7adbcb1e3871514,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0074:occurrence_01,review:wikisource:record:itws:989206:bibit:sonnet:bibit000807:structural_0074,wikisource:record:itws:989206,bibit:sonnet:bibit000807:structural_0074,sonnet_segment_quarantine,a6733c89ab877388da3d6655605bad2fb8e3a4236deb96dec3c7b1bbb345d221,aa619d4f76e9a5544b5a35fae41aaa3a7fc5921ffcc715d009ec42b7a06a5613,contiguous_shingle_window_alignment,93,91,0.978495,1202,1295,6586,7068,482,47a756eff9dbbb8df14a76e0cb0b7918f6b0a64c1162537dd8ff545f080a49b2,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:991032:wikisource:sonnet:itws:991109:sonnet0001:occurrence_01,review:wikisource:record:itws:991032:wikisource:sonnet:itws:991109:sonnet0001,wikisource:record:itws:991032,wikisource:sonnet:itws:991109:sonnet0001,sonnet_segment_quarantine,0d090ddd4e15231e1ea944d51e13fd85b6c51419ca56fd01f689714f2e92bb81,b678c90e05a20899ecc7d9e14b1da3fb371116f9a33d94d28f0b80443a74e3d3,contiguous_shingle_window_alignment,97,97,1.000000,5009,5106,26772,27292,520,b678c90e05a20899ecc7d9e14b1da3fb371116f9a33d94d28f0b80443a74e3d3,true,remove_verified_occurrence,residual_reference_below_threshold
