ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
71320,Tenda e castello,"Sacchetti, Roberto",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71320,https://www.gutenberg.org/ebooks/71320.txt.utf-8,hit,quality_pass,,305663,286193,46870,5190,0,0.264882,0.780966,0.000252,1,editor_note:1,,,7440d09647404b9f74abc4575e3a3eaf02c6037cee9d5b9db5238d278d491d08,41,,,,,,,,,,,quality_pass_pending_editorial_activation_review
71399,Racconti popolari,"Thouar, Pietro",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71399,https://www.gutenberg.org/ebooks/71399.txt.utf-8,hit,quality_pass,,653238,633786,107069,10153,0,0.275355,0.783357,0.002618,1,editor_note:1,,review_language_variety_marker,6fb93b20a8a1ea1f7b39b83e74b1310bb0a71f30e0520533d9438d15dd579abf,100,,,,,,,,,accept_standard_tuscan_with_vocabulary_notes,The preface mentions occasional obsolete or Tuscan vernacular vocabulary; the collection is core-compatible.,quality_pass_pending_editorial_activation_review
71403,"Lodovico il Moro : $b o Condizioni, usi, costumi, singolarità e memorabili avvenimenti di Milano sulla fine del secolo XV. Romanzo storico","Campiglio, Giovanni",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71403,https://www.gutenberg.org/ebooks/71403.txt.utf-8,hit,quality_pass,,308376,288740,47910,4414,0,0.257525,0.800097,0.001122,1,editor_note:1,,,d5a6fc3d1c0a26bd3929a0974687a6a4e70e988c9349264978d0a43fd390541b,48,,,,,,,,,,,quality_pass_pending_editorial_activation_review
71554,"Storia degli Italiani, vol. 13 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71554,https://www.gutenberg.org/ebooks/71554.txt.utf-8,hit,quality_pass,,1160644,1141087,177180,17307,0,0.249453,0.805467,0.005771,1,editor_note:1,,,d6d60556ba1a4701cc7957c06df3ec12f617d8b807a8095e8c1da5b269ea2832,189,,,,,,,,,,,quality_pass_pending_editorial_activation_review
72321,"Pompei e le sue rovine, Vol. 1 (of 3)","Curti, Pier Ambrogio",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/72321,https://www.gutenberg.org/ebooks/72321.txt.utf-8,hit,quality_pass,,568846,549308,85966,9049,0,0.237606,0.776741,0.00578,3,editor_note:1;errata:2,,,a85fc08a36a04cd89b248ad0e8dc363b24e2c45d9e2e45221d0fac24fec34771,90,,,,,,,,,,,quality_pass_pending_editorial_activation_review
72322,"Pompei e le sue rovine, Vol. 2 (of 3)","Curti, Pier Ambrogio",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/72322,https://www.gutenberg.org/ebooks/72322.txt.utf-8,hit,quality_pass,,602261,582723,91192,9599,0,0.241556,0.779226,0.004913,1,editor_note:1,,,8c48fbb49f447528e3c68313b12e5de75b76ee0371eae1db2716dbc4f2187b5e,94,,,,,,,,,,,quality_pass_pending_editorial_activation_review
72323,"Pompei e le sue rovine, Vol. 3 (of 3)","Curti, Pier Ambrogio",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/72323,https://www.gutenberg.org/ebooks/72323.txt.utf-8,hit,quality_pass,,629000,609462,93428,10421,0,0.236203,0.762689,0.005799,1,editor_note:1,,,511f87eae851ab4b9a7eff39ea2926a5ce8c0df7316b26a61fa40993f69a86c9,79,,,,,,,,,,,quality_pass_pending_editorial_activation_review
72382,Racconti storici,"Bazzoni, Giambattista",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/72382,https://www.gutenberg.org/ebooks/72382.txt.utf-8,hit,quality_pass,,283149,263843,43582,4166,0,0.242164,0.801439,0.000462,1,editor_note:1,,,8f5bb95d3448a739df6c4da1cb6175918ba44dde3d96c50f41015fdaa4db2ef2,55,,,,,,,,,,,quality_pass_pending_editorial_activation_review
72470,Racconti storici - Nuovo volume,"Bazzoni, Giambattista",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/72470,https://www.gutenberg.org/ebooks/72470.txt.utf-8,hit,quality_pass,,230134,210593,34318,3280,0,0.237747,0.804276,0.001125,1,editor_note:1,,,83f32243e0fd93dc6a4c3d8c46ddbe249653558e0132c43aa64a655fb53e399a,31,,,,,,,,,,,quality_pass_pending_editorial_activation_review
72866,"Storia degli Italiani, vol. 14 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/72866,https://www.gutenberg.org/ebooks/72866.txt.utf-8,hit,quality_pass,,846397,826839,119126,12383,0,0.249652,0.755049,0.014133,1,editor_note:1,,,4b60dcdca9c37d2988315f0c84492f22eba4c810bc7440f6fd924d64617389a9,108,,,,,,,,,,,quality_pass_pending_editorial_activation_review
