ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,resolution_pass,final_period_bucket,final_role,metadata_final_decision,final_resolution_status,final_activation_class,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,prior_gutenberg_overlap_metrics,prior_gutenberg_duplicate_scope,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
32441,Il colore del tempo,"De Roberto, Federico",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/32441,https://www.gutenberg.org/ebooks/32441.txt.utf-8,hit,quality_pass,,312883,293324,47107,5141,0,0.259558,0.786891,0.003709,0,,,,227f1600b3a4d9cecb0da59ff2fe4165390b96eaecf73d83eb48ab6a68c69b3a,52,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
32599,Il dolore nell'arte: discorso,"Fogazzaro, Antonio",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/32599,https://www.gutenberg.org/ebooks/32599.txt.utf-8,hit,quality_pass,,57283,37717,6234,592,0,0.270934,0.80823,0.000371,0,,,,e7a30c5f2ce62d0030e1fdedbc20d1cc22f1dbf5bbc3039cdc4db551a951c16a,4,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
35660,Terra vergine: romanzo colombiano,"Barrili, Anton Giulio",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/35660,https://www.gutenberg.org/ebooks/35660.txt.utf-8,hit,quality_pass,,626513,607094,100242,9754,0,0.257068,0.781866,0.000871,1,editor_note:1,,,1be72de3be5071881f8a8bdc6ba1da57841e5851c85d83e3a0182c7f6ad41272,103,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
36239,Fatalità,"Negri, Ada",historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,historical_non_sonnet_poetry_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/36239,https://www.gutenberg.org/ebooks/36239.txt.utf-8,hit,quality_pass,,117782,98456,14427,2487,0,0.234422,0.629083,0.001838,0,,,,be28674b9477761aef062d46811e1a1084dfd4c4f70a48e4ee747b3a00d1bc6d,12,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
37719,"La vita in Palermo cento e più anni fa, Volume 1","Pitrè, Giuseppe",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/37719,https://www.gutenberg.org/ebooks/37719.txt.utf-8,hit,quality_pass,,624862,605387,93843,9743,0,0.260765,0.765509,0.013365,2,editor_note:1;errata:1,,,e52c34eade923b148b8d4d7dcbee4791479acdc54bf5d6e134977eab973ef459,91,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
37720,"La vita in Palermo cento e più anni fa, Volume 2","Pitrè, Giuseppe",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/37720,https://www.gutenberg.org/ebooks/37720.txt.utf-8,hit,quality_pass,,683505,664030,103509,10404,0,0.268315,0.776707,0.011871,1,editor_note:1,,,bbd31c1af9b0018d11ff8ce7aa4947d1daffe01cecb6a7c25377608a7132f6e6,93,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
37776,Sodoma e Gomorra: Cronistoria del Libertinaggio attraverso i secoli ed il mondo,Docteur Jaf,date_and_role_review,unknown,review_missing_period_evidence,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/37776,https://www.gutenberg.org/ebooks/37776.txt.utf-8,hit,quality_pass,,262820,243219,38243,3871,0,0.267265,0.786431,0.003639,0,,,,6e00749c36b666273570a7da8ad599e77b27e8e3bb5b6d363fbf35c6c5aa38d9,32,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
37931,Un'avventura di viaggio,"Bracco, Roberto",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/37931,https://www.gutenberg.org/ebooks/37931.txt.utf-8,hit,review_quality,,76098,56723,6456,1214,0,0.233116,0.544453,0.000511,0,,low_alphabetic_character_ratio,,4310f6603f254908c494515c8fa532c87f190ac563378e94e2f0e71c860ee626,8,,,,,,,,,,,accept_theatrical_formatting_density,"The low ratio is caused by leading indentation, speaker layout, and stage directions in a legible standard-Italian play, not OCR corruption.",quality_pass_pending_editorial_activation_review
37932,Le disilluse,"Bracco, Roberto",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/37932,https://www.gutenberg.org/ebooks/37932.txt.utf-8,hit,quality_pass,,63107,43776,5395,1049,0,0.243188,0.569033,0.000868,1,editor_note:1,,,da3a7e9ec92a59de66208684ecbea938010877c322a749d595be282e16e52ecd,6,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
37933,Lui lei lui,"Bracco, Roberto",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/37933,https://www.gutenberg.org/ebooks/37933.txt.utf-8,hit,quality_pass,,54252,34925,4006,717,0,0.221418,0.567416,0.00083,0,,,,84d2043c4108ad52b7e26f6b835300ed8783372aabebc9e84fd10345c3453d0b,6,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
