work_root_id,root_title,landing_page_url,author_evidence,period_bucket,input_role,final_broader_role,direct_scan_title,scan_rights_id,checkpoint_4c_decision,quality_flags,source_cache_path,source_sha256,source_character_count,canonical_reference_ids,removed_reference_ids,rights_decision,final_decision,resolution_reason,retained_broader_character_count,excluded_character_count,sonnet_candidate_count,activation_status
itws:38411,Altri dubbj amorosi,https://it.wikisource.org/wiki/Altri_dubbj_amorosi,Pietro Aretino,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Dubbi amorosi.djvu,itws-scan:239301,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_38411.txt,5dffdea21223c2d89cb070b918f97ea73feedab268b91d40b2f9dce770b29611,5512,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",5512,0,0,inactive_pending_cross_archive_freeze
itws:38623,Istorie dello Stato di Urbino,https://it.wikisource.org/wiki/Istorie_dello_Stato_di_Urbino,Vincenzo Maria Cimarelli,origins_through_1800,historical_general,historical_general,Istorie dello Stato di Urbino.djvu,itws-scan:45073,hold_unresolved_markup,language_variety_marker;removed_wikitable;transcription_gap_template;unresolved_template:medium;unresolved_template:via/isu,data/local/wikisource/page_extraction_v1/root_texts/itws_38623.txt,3549b23e059fb5ad20c9914a78bae19b6713a12181079838ba825d28f294a8e3,518147,,,rights_pass,exclude_unresolved_markup,Unknown markup may contain or corrupt primary text.,0,518147,0,inactive_pending_cross_archive_freeze
itws:38876,Ultime lettere di Jacopo Ortis,https://it.wikisource.org/wiki/Ultime_lettere_di_Jacopo_Ortis,Ugo Foscolo,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Ultime lettere di Jacopo Ortis.djvu,itws-scan:317354,hold_duplicate_review,language_variety_marker,data/local/wikisource/page_extraction_v1/root_texts/itws_38876.txt,db954a3706f5b4b9b8db7c5ae0ad9a48e99a4e341656177595e9149ec3b7f49a,282690,,,rights_pass,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",0,282690,0,inactive_pending_cross_archive_freeze
itws:42780,La spigolatrice di Sapri (1861),https://it.wikisource.org/wiki/La_spigolatrice_di_Sapri_(1861),Luigi Mercantini,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Poesie di Giovanni Berchet.djvu,itws-scan:267932,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_42780.txt,41770987eae0996d4c299f77afca34c0f179457df250e7ac00f9d102ba3ea889,1943,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",1943,0,0,inactive_pending_cross_archive_freeze
itws:43413,Vostra orgogliosa ciera,https://it.wikisource.org/wiki/Vostra_orgogliosa_ciera,Arrigo Testa,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Le antiche rime volgari I.djvu,itws-scan:467862,hold_unresolved_markup,unresolved_template:visualizza note,data/local/wikisource/page_extraction_v1/root_texts/itws_43413.txt,01cbe9060f70ef73374edd60f0204a7ac6afe9bdcd37e21211ca021ee67beb9e,4204,,,rights_pass,exclude_unresolved_markup,Unknown markup may contain or corrupt primary text.,0,4204,0,inactive_pending_cross_archive_freeze
itws:43761,Dolce sollievo dell'umane cure,https://it.wikisource.org/wiki/Dolce_sollievo_dell'umane_cure,Faustina Maratti,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Zappi, Maratti - Rime I.pdf",itws-scan:482514,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_43761.txt,5391007ed430ebda56794b8a3c2108b5aad510cd20870999f2c674fb68d5c946,534,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",11,523,1,inactive_pending_cross_archive_freeze
itws:43762,"Che? non credevi forse, anima schiva","https://it.wikisource.org/wiki/Che%3F_non_credevi_forse,_anima_schiva",Faustina Maratti,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Zappi, Maratti - Rime I.pdf",itws-scan:482514,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_43762.txt,3459e8e2c0fc6457608ca56df27bd9d3e9510b14262af6a79a09f3ad5770952d,542,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",542,0,0,inactive_pending_cross_archive_freeze
itws:43781,"Io porto, ahimè, trafitto il manco lato","https://it.wikisource.org/wiki/Io_porto,_ahim%C3%A8,_trafitto_il_manco_lato",Faustina Maratti,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Zappi, Maratti - Rime I.pdf",itws-scan:482514,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_43781.txt,525d5cedc1dcd98148626fa1e1851b6d3244e0aba0762661f53006b117117e1a,546,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",5,541,1,inactive_pending_cross_archive_freeze
itws:43785,Rime dell'avvocato Gio. Batt. Felice Zappi e di Faustina Maratti sua consorte,https://it.wikisource.org/wiki/Rime_dell'avvocato_Gio._Batt._Felice_Zappi_e_di_Faustina_Maratti_sua_consorte,Autori vari,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Zappi, Maratti - Rime I.pdf",itws-scan:482514,hold_quality_or_editorial_review,transcription_gap_template,data/local/wikisource/page_extraction_v1/root_texts/itws_43785.txt,c57912944cdacffda19f6a443953bd9bc61fe45e74931348c2e108ebcdc6bfec,491535,,,rights_pass,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",0,491535,0,inactive_pending_cross_archive_freeze
itws:43787,"Pensier, che vuoi, che in così torvo aspetto","https://it.wikisource.org/wiki/Pensier,_che_vuoi,_che_in_cos%C3%AC_torvo_aspetto",Faustina Maratti,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Zappi, Maratti - Rime I.pdf",itws-scan:482514,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_43787.txt,bc0ae5c3c037469c890745708f4531da0bf9d9a291b3e88610954461ed06f583,565,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",4,561,1,inactive_pending_cross_archive_freeze
