object_id,title,authors,periods,genres,assigned_role,route,audit_status,audit_flags,duplicate_of_object_id,cache_status,tei_sha256,body_characters,candidate_safe_characters,routed_training_characters,residual_characters,non_sonnet_verse_characters,explicit_sonnet_count,structural_14_line_candidate_count,structural_sonnet_variant_count,eligible_new_sonnet_count,held_out_text_hits,bracketed_text_markers,editorial_reference_markers,digital_title,digital_authors,source_titles,source_editors,source_publisher,source_publication_place,source_publication_date,source_identifier,availability,tei_languages,tei_genres,revision_count,landing_page_url,xml_url,error
bibit000770,Relazione di Germania,"Mocenigo, Leonardo",500,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,779ff3dc8ce2d237b2a8a0a9ffbf9d34f6e95dc65a65288427ba4a87fb329c24,88348,88348,88348,88348,0,0,0,0,0,,0,0,Relazione di Germania,Leonardo Mocenigo,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente.;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit000770,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000770,
bibit001544,Relazione di Germania (1661),"Molin, Alvise",600,Documenti,historical_general,historical_general,activation_candidate,,,hit,e66ab47017b0c9dcd70a21e5c58301987cfb8dd06bcba7dbf55dc415ced619f6,134706,134706,134706,134706,0,0,0,0,0,,0,0,Relazione di Germania (1661),Alvise Molin,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001544,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001544,
bibit000052,Caio Gracco,"Monti, Vincenzo",700,Letteratura teatrale,historical_general,historical_general,activation_candidate,,,hit,880b0eb8d1d05e77adeec8072e98b602512ffd78662e8c3872fff47982b3941f,86108,86108,86108,86108,0,0,0,0,0,,0,0,Caio Gracco,Vincenzo Monti,Opere,"Valgimigli, Manara;Muscetta, Carlo",R. Ricciardi,Milano [ecc.],1953,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,"851.6 - POESIA ITALIANA, 1748-1814;Letteratura teatrale",4,http://www.bibliotecaitaliana.it/scheda/bibit000052,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000052,
bibit000460,Epistolario,"Monti, Vincenzo",700,Lettere ed epistolari,historical_general,historical_general,review_required,note_multilingual_metadata;review_editorial_brackets,,hit,decbb714d86f53fa5a6e5cabb9b696daa6238746751dae922aee4ddf58f67130,3657759,3639214,3639214,3630424,13474,22,3,0,20,,25,0,Epistolario,Vincenzo Monti,"Epistolario : Raccolto, ordinato e annotato da Alfonso Bertoldi. Vol. VI ed ultimo. 1824 1828. Con Appendice e indice generale;vol.","Bertoldi, Alfonso",Le Monnier,Firenze,1931,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino;Francese;Tedesco;Inglese;Greco antico,Lettere ed epistolari,5,http://www.bibliotecaitaliana.it/scheda/bibit000460,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000460,
bibit000286,Ricordi,"Morelli, Giovanni di Pagolo",300,Narrativa,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,87db8665eed4a8d52d6100985377b96a6ceb79b60ca0bc6db5f45eb33ae9e7aa,367664,367664,367664,367664,0,0,0,0,0,,1,0,Ricordi,Giovanni di Pagolo Morelli,Mercanti scrittori : ricordi nella Firenze tra Medioevo e Rinascimento / Paolo da Certaldo ... [et al.],"Branca, Vittore",F. Le Monnier,Firenze,1986,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,"858.10308 - SCRITTI MISCELLANEI ITALIANI. ORIGINI-1375. DIARI, GIORNALI, RIMINISCENZE RACCOLTE;Narrativa",4,http://www.bibliotecaitaliana.it/scheda/bibit000286,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000286,
bibit001029,Atti dalla relazione di Domenico Morosini,"Morosini, Domenico",500,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,630b6016da49d52ee330f5f8db7eb610baf65967c6026134ef3fda4c2c1f3d91,18528,18528,18528,18528,0,0,0,0,0,,0,0,Atti dalla relazione di Domenico Morosini,Domenico Morosini,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino;Tedesco,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001029,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001029,
bibit001231,Relazione di Costantinopoli (1675-1680),"Morosini, Giovanni",600,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,bbebbb3a6004d198509f48e697c4e5f6768433e88b036d5694cf87073c45afb0,110191,110191,110191,110191,0,0,0,0,0,,0,0,Relazione di Costantinopoli (1675-1680),Giovanni Morosini,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001231,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001231,
bibit001282,Relazione di Francia,"Morosini, Giovanni",600,Documenti,historical_general,historical_general,activation_candidate,,,hit,1655fcb57c384441d96800b75528ddd1899f574c2eb0d2f8409a0daeb34398a9,56952,56952,56952,56952,0,0,0,0,0,,0,0,Relazione di Francia,Giovanni Morosini,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001282,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001282,
bibit001303,Relazione di Germania (1674),"Morosini, Giovanni",600,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,2968cf4d3f50bc7aa49e9fba21ac30ebaf82d39045c8f4e16d928578e75b0304,56449,56449,56449,56449,0,0,0,0,0,,0,0,Relazione di Germania (1674),Giovanni Morosini,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001303,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001303,
bibit001611,La rappresentazione del vitello sagginato,"Muzi, Piero di Mariano",400,Letteratura teatrale,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,3a397dc538828424b3e03cf0d634d39e2f81f76ecf0b243b7c682490718477ec,25212,25212,25212,5757,19380,0,0,0,0,,0,0,La rappresentazione del vitello sagginato,Piero di Mariano Muzi,Nuovo corpus di sacre rappresentazioni fiorentine del Quattrocento edite e inedite tratte da manoscritti coevi o ricontrollate su di essi,"Newbigin, Nerida",Commissione per i testi di lingua,Bologna,1983,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,852.2 - LETTERATURA DRAMMATICA ITALIANA. 1375-1492;Letteratura teatrale,4,http://www.bibliotecaitaliana.it/scheda/bibit001611,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001611,
bibit000904,Battaglie per difesa dell'italica lingua,"Muzio, Girolamo",500,Trattati,historical_general,historical_general,review_required,note_multilingual_metadata;review_editorial_brackets,,hit,a23c3e351d0671ee1446aba423ea564202034d43f3cb8f3081266a3c0c02d8f8,514558,514013,514013,506592,7314,0,1,0,0,,202,0,Battaglie per difesa dell'italica lingua,Girolamo Muzio,Battaglie per difesa dell'italica lingua,"Sodano, Rossana",RES,Torino,1994,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino;Francese,450.1 - Lingua italiana. Filosofia e teoria;Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000904,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000904,
bibit001407,Dell'arte poetica,"Muzio, Girolamo",500,Trattati,historical_general,historical_general,activation_candidate,,,hit,387a977c12d731a4167e54b4a273bcd612322f9562ab4c0b969f937bfebc3732,59612,59085,59085,40,59000,0,1,0,0,,0,0,Dell'arte poetica,Girolamo Muzio,Trattati di poetica e retorica del Cinquecento;v.,"Weinberg, Bernard",Laterza,Roma [etc.],1970-1974,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,808.009031 - RETORICA. 1500-1599;Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit001407,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001407,
bibit000300,Il gentilhuomo,"Muzio, Girolamo",500,Trattati,historical_general,historical_general,activation_candidate,,,hit,9a44d34ffd060e4d24782a529ab184c4e2e22a05347f292c69133347283e2a9e,434464,434464,434464,434464,0,0,0,0,0,,0,0,Il gentilhuomo,Girolamo Muzio,Il gentilhuomo del Mutio iustinopolitano. In questo volume distinto in tre dialoghi si tratta la materia della nobilta: e si mostra quante ne siano le maniere: qual sia la uera: onde ella habbia hauuto origine: come si acquisti come si conserui; e come si perda. ... Con la tauola delle cose notabili,,appresso Gio. Andrea Valuassori detto Guadagnino,In Venetia,1571,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000300,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000300,
bibit001189,Lettere,"Muzio, Girolamo",500,Lettere ed epistolari,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,7eff8a896d786e890680b6aca95c1026dc5d1e477793f6a0cc0e0a3cd9a0d982,409620,399896,399896,406406,3177,0,1,0,0,,0,0,Lettere,Girolamo Muzio,Lettere,"Negri, Anna Maria",Edizioni dell'Orso,Alessandria,2000,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,856.4 - LETTERE ITALIANE. 1542-1585;Lettere ed epistolari,4,http://www.bibliotecaitaliana.it/scheda/bibit001189,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001189,
bibit001166,Atti del bailaggio di Costantinopoli (1600-1603),"Nani, Agostino",600,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,c98c00ee38e6735d0aa6253df04bd7c679eab3138d1d91925d8ef3f985efed02,63271,63271,63271,63271,0,0,0,0,0,,0,0,Atti del bailaggio di Costantinopoli (1600-1603),Agostino Nani,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001166,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001166,
bibit000867,Relazione di Francia di Giovanni Battista Nani (1644 al 1648),"Nani, Giovan Battista",600,Documenti,historical_general,historical_general,activation_candidate,,,hit,24c7f9be6297b94733ea4214caeae51789107f8d3c759f7c72170ee92630efa6,92326,92326,92326,92326,0,0,0,0,0,,0,0,Relazione di Francia di Giovanni Battista Nani (1644 al 1648),Giovan Battista Nani,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit000867,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000867,
