ebook_id,title,authors,source_pool,source_archive,source_url,period_bucket,input_role,final_role,probe_decision,source_decision,extraction_policy,canonical_reference_ids,language_route,cache_path,cache_sha256,cleaned_sha256,cleaned_character_count,included_record_character_count,excluded_character_count,sonnet_candidate_count,eligible_standard_sonnet_count,unresolved_sonnet_review_count,residual_heldout_overlap_ids
45334,"I promessi sposi.: Opere di Alessando Manzoni, vol. 1","Manzoni, Alessandro",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45334,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,exclude_cross_corpus_duplicate_candidate,exclude_canonical_cross_corpus_duplicate,exclude_complete_source,bibit:bibit000666,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45334.txt,5142400c2ef4edd5fd2e3762c6c125a7f3fe818660b53605aa3c8d023d07bf89,e1c163aa987b318af28f7dc896f9b3e49b7d16cc715cbe9813c8ede5d7c4bc1b,1409408,0,1409408,0,0,0,
45565,"La guerra dei pirati e la marina pontificia dal 1500 al 1560, vol. 1","Guglielmotti, Alberto P.",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45565,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45565.txt,d2cbbf215d69b33c0d371cdd9919c4c91e065afa79de5916fe4fc80390105195,c92697ef0754f529caccce9d5164bb5f8aaa5ef6170b495ad83d73625900b37c,826188,825954,234,0,0,0,
45566,"La guerra dei pirati e la marina pontificia dal 1500 al 1560, vol. 2","Guglielmotti, Alberto P.",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45566,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45566.txt,43f77446420d0f123f6c3e9095674282bea8b5c75f675204a3305433dc962597,dac278560a2f6a03b60b89b12544d63b3a5931ed8731a7b7a5d1c857fa0e9c0f,890874,890614,260,0,0,0,
45594,Sotto il velame: Saggio di un'interpretazione generale del poema sacro,"Pascoli, Giovanni",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45594,nineteenth_century_bridge,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/metadata_review_v1/pg45594.txt,95c3d3e0859079f04ccde1762669668c520adbb073379a54a47b8c8fe4782ae2,94596925155e8f09b1c44be4c33f98ac11e801d1f40a4227b81937411a9f5bcf,760229,760029,200,0,0,0,
45638,Gli albori della vita Italiana: Conferenze tenute a Firenze nel 1890,Various,pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45638,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/metadata_review_v1/pg45638.txt,309233393e5d4b6afa8b5f9998c6baacc0fbe940f91c292d0ab97a19200c7cf4,a1b377ecbefc3cdcd0797a2a2df60b74cefed0595d9454f51df34647b4ddcd91,734138,733923,215,0,0,0,
45803,Racconti storici e morali,"Cantù, Cesare",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45803,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45803.txt,8e291da27dc48fee7b19c95b45f9a3ae83c161c1e1b2af2887b41f82c7c4eed1,8c1d5f201e07a11a45d57329b903630c1261c45486986af6729ade96bc507ae3,472845,472701,144,0,0,0,
45807,Pro Judaeis: Riflessioni e Documenti,"Guidetti, Corrado",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45807,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/metadata_review_v1/pg45807.txt,e9fe5c8bf9b138acfaf351097c2b91cee0e44114b02c2b5e7091cb9fbb0c444d,4ed2abbe07a2e3df74d6d6d34faddd0d26ad4e20cea4307017e338b457663f62,650888,650888,0,0,0,0,
45901,"Storia d'Italia dal 1789 al 1814, tomo I","Botta, Carlo",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45901,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45901.txt,4de9d5698d1617c68004e97c637dc17853b2e2e2a4b05e05f51a957b250baa25,b41d053f6e42e97eb1485f25e7350689eae9dc45885b2aab5e04c3da320b19b3,609575,609367,208,0,0,0,
45902,"Storia d'Italia dal 1789 al 1814, tomo II","Botta, Carlo",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45902,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45902.txt,647aa4ca0704b6ab45915bf7f7c9133d967ec0a21433d94260c2f343433c420d,65e0556972a5ea57737dc8f5d0ee5ebbbf1d62b120e8f20c400a851862d79e2f,489957,489751,206,0,0,0,
45903,"Storia d'Italia dal 1789 al 1814, tomo III","Botta, Carlo",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/45903,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg45903.txt,b6533d132e8263ff9d7aaa1f08608e23d322cef238990f2429e5d71708a79588,9ef1b8d2739470d0b4ad272eca484f7acafd89e01430390fc64e5d7e8ced32a7,550830,550624,206,0,0,0,
